 Diagnosis, Precentage in Top Five
raynaud's phenomenon associated with an autoimmune condition, 0.02
raynaud's phenomenon secondary to a connective tissue disorder, 0.02
raynaud's phenomenon secondary to an autoimmune condition, 0.04
raynaud's phenomenon secondary to another autoimmune condition, 0.02
raynaud's phenomenon secondary to another condition, 0.02
raynaud's phenomenon secondary to autoimmune disease, 0.04
raynaud's phenomenon secondary to autoimmune disorder, 0.02
raynaud's phenomenon secondary to connective tissue disease, 0.04
raynaud's phenomenon with connective tissue disorder, 0.02
raynaud's phenomenon with secondary cause, 0.02
raynaud's phenomenon with secondary connective tissue disorder, 0.02
raynaud’s disease, 0.02
reactive arthritis, 0.02
rheumatic fever, 2.32
rheumatoid arthritis, 0.5
rheumatoid arthritis (juvenile form), 0.06
rheumatoid arthritis (juvenile idiopathic arthritis - jia), 0.02
rheumatoid arthritis (juvenile idiopathic arthritis), 0.26
rheumatoid arthritis (juvenile), 0.08
rheumatoid arthritis with skin manifestations, 0.02
sarcoidosis, 0.1
scarlet fever, 0.3
scleroderma, 2.8
scleroderma (juvenile systemic sclerosis), 0.02
scleroderma (localized or systemic), 0.02
scleroderma (localized), 0.02
scleroderma (systemic sclerosis), 0.02
scorbutic (vitamin c deficiency), 0.02
scurvy, 0.1
scurvy (vitamin c deficiency), 0.02
sjogren's syndrome, 0.02
sjögren's syndrome, 1.08
sjögren’s syndrome, 0.06
spinal muscular atrophy, 0.02
staphylococcal scalded skin syndrome (ssss), 0.04
still's disease (a form of systemic jia), 0.02
strep throat with scarlet fever, 0.02
systemic juvenile idiopathic arthritis, 0.48
systemic juvenile idiopathic arthritis (sjia), 0.24
systemic lupus erythematosus, 1.18
systemic lupus erythematosus (sle), 18.05
systemic sclerosis, 0.02
systemic sclerosis (scleroderma), 0.02
thyroid dysfunction (e.g., hashimoto's thyroiditis), 0.02
vasculitis, 0.24
viral exanthem, 0.58
viral exanthem with arthritis, 0.02
viral exanthem with myositis, 0.1
viral exanthema, 0.26
viral exanthema (e.g., parvovirus b19), 0.02
viral exanthema with myositis, 0.02
viral infection (e.g., ebv or parvovirus), 0.02
viral infection (e.g., epstein-barr virus or cytomegalovirus), 0.02
viral infection (e.g., epstein-barr virus), 0.2
viral infection (e.g., parvovirus b19), 0.02
viral infection with autoimmune features, 0.04
viral infection with complications, 0.02
viral infection with dermatitis, 0.02
viral infection with myositis, 0.04
viral infection with raynaud's phenomenon, 0.02
viral infection with reactive arthritis, 0.02
viral myositis, 0.66
vitamin b12 deficiency, 0.02
vitamin c deficiency (scurvy), 0.22
vitamin d deficiency, 0.36
vitamin deficiency (e.g., vitamin c or d), 0.02
wilson's disease, 0.02
