 Diagnosis, Precentage in Top Five
sle-associated vasculitis, 0.02
sle-induced lupus nephritis, 0.02
spinal muscular atrophy, 0.02
stevens-johnson syndrome, 0.2
streptococcal infection, 0.08
streptococcal pharyngitis, 0.12
streptococcal pharyngitis (strep throat), 0.08
systemic juvenile idiopathic arthritis, 0.46
systemic juvenile idiopathic arthritis (sjia), 0.06
systemic juvenile idiopathic arthritis (still's disease), 0.02
systemic lupus erythematosus, 5.64
systemic lupus erythematosus (sle), 12.15
systemic scleroderma, 0.24
systemic sclerosis, 0.8
systemic sclerosis (scleroderma), 0.62
systemic vasculitis, 0.02
thrombocytopenic purpura, 0.02
thrombophlebitis, 0.02
thyroid disorder, 0.08
thyroiditis, 0.02
toxic epidermal necrolysis, 0.06
toxic shock syndrome, 0.32
type 1 diabetes, 0.06
upper respiratory infection, 0.02
vasculitis, 0.22
viral infection, 0.08
viral infection (e.g. coxsackievirus), 0.02
viral upper respiratory infection, 0.02
vitamin b12 deficiency, 0.1
vitamin c deficiency (scurvy), 0.06
vitamin d deficiency, 1.06
vitamin deficiency (e.g., vitamin b12), 0.02
vitamin deficiency (e.g., vitamin c deficiency), 0.02
vocal cord dysfunction, 0.02
von willebrand disease, 0.02
xeroderma pigmentosum, 0.12
zinc deficiency, 0.02
